[ 2024-12-26 12:38:48,742 ] 19 root - INFO - Initiate the data ingestion
[ 2024-12-26 12:38:51,551 ] 66 root - INFO - Performed train test split on the dataframe
[ 2024-12-26 12:38:51,551 ] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-12-26 12:38:51,551 ] 76 root - INFO - Exporting train and test file path.
[ 2024-12-26 12:38:51,724 ] 85 root - INFO - Exported train and test file path.
[ 2024-12-26 12:38:51,724 ] 21 root - INFO - a initiation Completed
[ 2024-12-26 12:38:51,749 ] 25 root - INFO - Initiate the data validation
[ 2024-12-26 12:38:51,788 ] 31 root - INFO - Required number of columns:2
[ 2024-12-26 12:38:51,788 ] 32 root - INFO - Data frame has columns:31
[ 2024-12-26 12:38:51,788 ] 31 root - INFO - Required number of columns:2
[ 2024-12-26 12:38:51,788 ] 32 root - INFO - Data frame has columns:31
[ 2024-12-26 12:38:52,048 ] 27 root - INFO - data validation completed
[ 2024-12-26 12:38:52,048 ] 30 root - INFO - data transformation started
[ 2024-12-26 12:38:52,048 ] 64 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2024-12-26 12:38:52,048 ] 66 root - INFO - Starting data transformation
[ 2024-12-26 12:38:52,089 ] 49 root - INFO - Entered get_data_transformer_object method of transformation class
[ 2024-12-26 12:38:52,089 ] 54 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2024-12-26 12:38:52,106 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-12-26 12:38:52,106 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-12-26 12:38:52,111 ] 34 root - INFO - data transformation completed
[ 2024-12-26 12:38:52,111 ] 36 root - INFO - Model Training sstared
[ 2024-12-26 12:43:14,797 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-12-26 12:43:14,800 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-12-26 12:43:14,800 ] 122 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\12_26_2024_12_38_45\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=np.float64(0.9911575562700965), precision_score=np.float64(0.987585102122547), recall_score=np.float64(0.9947559499798305)), test_metric_artifact=ClassificationMetricArtifact(f1_score=np.float64(0.9715698393077874), precision_score=np.float64(0.9600977198697068), recall_score=np.float64(0.9833194328607172)))
[ 2024-12-26 12:43:14,803 ] 41 root - INFO - Model Training artifact created
