[ 2024-11-07 14:22:09,650 ] 19 root - INFO - Initiate the data ingestion
[ 2024-11-07 14:22:12,691 ] 66 root - INFO - Performed train test split on the dataframe
[ 2024-11-07 14:22:12,691 ] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-11-07 14:22:12,696 ] 76 root - INFO - Exporting train and test file path.
[ 2024-11-07 14:22:13,021 ] 85 root - INFO - Exported train and test file path.
[ 2024-11-07 14:22:13,021 ] 21 root - INFO - a initiation Completed
[ 2024-11-07 14:22:13,079 ] 25 root - INFO - Initiate the data validation
[ 2024-11-07 14:22:13,145 ] 31 root - INFO - Required number of columns:2
[ 2024-11-07 14:22:13,145 ] 32 root - INFO - Data frame has columns:31
[ 2024-11-07 14:22:13,146 ] 31 root - INFO - Required number of columns:2
[ 2024-11-07 14:22:13,146 ] 32 root - INFO - Data frame has columns:31
[ 2024-11-07 14:22:13,529 ] 27 root - INFO - data validation completed
[ 2024-11-07 14:22:13,534 ] 30 root - INFO - data transformation started
[ 2024-11-07 14:22:13,534 ] 64 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2024-11-07 14:22:13,534 ] 66 root - INFO - Starting data transformation
[ 2024-11-07 14:22:13,584 ] 49 root - INFO - Entered get_data_transformer_object method of transformation class
[ 2024-11-07 14:22:13,584 ] 54 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2024-11-07 14:22:13,677 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-11-07 14:22:13,697 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-11-07 14:22:13,707 ] 34 root - INFO - data transformation completed
[ 2024-11-07 14:22:13,707 ] 36 root - INFO - Model Training sstared
