[ 2025-01-04 20:12:10,995 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-01-04 20:12:11,007 ] 107 dagshub - INFO - Accessing as pranayp.kadu
[ 2025-01-04 20:12:11,571 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/pranayp.kadu/networksecurity "HTTP/1.1 200 OK"
[ 2025-01-04 20:12:12,079 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-01-04 20:12:12,083 ] 107 dagshub - INFO - Initialized MLflow to track repo "pranayp.kadu/networksecurity"
[ 2025-01-04 20:12:12,087 ] 107 dagshub - INFO - Repository pranayp.kadu/networksecurity initialized!
[ 2025-01-04 20:12:43,199 ] 41 root - INFO - Start data Ingestion
[ 2025-01-04 20:12:48,342 ] 66 root - INFO - Performed train test split on the dataframe
[ 2025-01-04 20:12:48,342 ] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-01-04 20:12:48,343 ] 76 root - INFO - Exporting train and test file path.
[ 2025-01-04 20:12:48,421 ] 85 root - INFO - Exported train and test file path.
[ 2025-01-04 20:12:48,422 ] 44 root - INFO - Data Ingestion completed and artifact: DataIngestionArtifact(trained_file_path='Artifacts\\01_04_2025_20_12_06\\data_ingestion\\ingested\\train.csv', test_file_path='Artifacts\\01_04_2025_20_12_06\\data_ingestion\\ingested\\test.csv')
[ 2025-01-04 20:12:48,434 ] 54 root - INFO - Initiate the data Validation
[ 2025-01-04 20:12:48,467 ] 31 root - INFO - Required number of columns:2
[ 2025-01-04 20:12:48,467 ] 32 root - INFO - Data frame has columns:31
[ 2025-01-04 20:12:48,467 ] 31 root - INFO - Required number of columns:2
[ 2025-01-04 20:12:48,467 ] 32 root - INFO - Data frame has columns:31
[ 2025-01-04 20:12:48,717 ] 64 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-01-04 20:12:48,717 ] 66 root - INFO - Starting data transformation
[ 2025-01-04 20:12:48,751 ] 49 root - INFO - Entered get_data_transformer_object method of transformation class
[ 2025-01-04 20:12:48,751 ] 54 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-01-04 20:12:48,768 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-04 20:12:48,771 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-04 20:12:48,772 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-04 20:12:48,775 ] 50 root - INFO - Exited the save_object method of MainUtils class
