[ 2024-11-07 14:25:53,289 ] 19 root - INFO - Initiate the data ingestion
[ 2024-11-07 14:25:54,697 ] 66 root - INFO - Performed train test split on the dataframe
[ 2024-11-07 14:25:54,697 ] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-11-07 14:25:54,697 ] 76 root - INFO - Exporting train and test file path.
[ 2024-11-07 14:25:54,772 ] 85 root - INFO - Exported train and test file path.
[ 2024-11-07 14:25:54,772 ] 21 root - INFO - a initiation Completed
[ 2024-11-07 14:25:54,781 ] 25 root - INFO - Initiate the data validation
[ 2024-11-07 14:25:54,811 ] 31 root - INFO - Required number of columns:2
[ 2024-11-07 14:25:54,811 ] 32 root - INFO - Data frame has columns:31
[ 2024-11-07 14:25:54,811 ] 31 root - INFO - Required number of columns:2
[ 2024-11-07 14:25:54,816 ] 32 root - INFO - Data frame has columns:31
[ 2024-11-07 14:25:55,116 ] 27 root - INFO - data validation completed
[ 2024-11-07 14:25:55,121 ] 30 root - INFO - data transformation started
[ 2024-11-07 14:25:55,121 ] 64 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2024-11-07 14:25:55,121 ] 66 root - INFO - Starting data transformation
[ 2024-11-07 14:25:55,151 ] 49 root - INFO - Entered get_data_transformer_object method of transformation class
[ 2024-11-07 14:25:55,151 ] 54 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2024-11-07 14:25:55,182 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-11-07 14:25:55,186 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-11-07 14:25:55,186 ] 34 root - INFO - data transformation completed
[ 2024-11-07 14:25:55,186 ] 36 root - INFO - Model Training sstared
[ 2024-11-07 14:30:26,094 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-11-07 14:30:26,097 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-11-07 14:30:26,097 ] 110 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\11_07_2024_14_25_52\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=np.float64(0.9906485057938605), precision_score=np.float64(0.9872366288492707), recall_score=np.float64(0.9940840473276213)), test_metric_artifact=ClassificationMetricArtifact(f1_score=np.float64(0.9761904761904762), precision_score=np.float64(0.9723320158102767), recall_score=np.float64(0.9800796812749004)))
[ 2024-11-07 14:30:26,097 ] 41 root - INFO - Model Training artifact created
