[ 2024-12-26 12:58:00,560 ] 19 root - INFO - Initiate the data ingestion
[ 2024-12-26 12:58:03,447 ] 66 root - INFO - Performed train test split on the dataframe
[ 2024-12-26 12:58:03,447 ] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-12-26 12:58:03,449 ] 76 root - INFO - Exporting train and test file path.
[ 2024-12-26 12:58:03,523 ] 85 root - INFO - Exported train and test file path.
[ 2024-12-26 12:58:03,523 ] 21 root - INFO - a initiation Completed
[ 2024-12-26 12:58:03,533 ] 25 root - INFO - Initiate the data validation
[ 2024-12-26 12:58:03,563 ] 31 root - INFO - Required number of columns:2
[ 2024-12-26 12:58:03,563 ] 32 root - INFO - Data frame has columns:31
[ 2024-12-26 12:58:03,563 ] 31 root - INFO - Required number of columns:2
[ 2024-12-26 12:58:03,563 ] 32 root - INFO - Data frame has columns:31
[ 2024-12-26 12:58:03,786 ] 27 root - INFO - data validation completed
[ 2024-12-26 12:58:03,786 ] 30 root - INFO - data transformation started
[ 2024-12-26 12:58:03,786 ] 64 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2024-12-26 12:58:03,786 ] 66 root - INFO - Starting data transformation
[ 2024-12-26 12:58:03,818 ] 49 root - INFO - Entered get_data_transformer_object method of transformation class
[ 2024-12-26 12:58:03,818 ] 54 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2024-12-26 12:58:03,837 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-12-26 12:58:03,842 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-12-26 12:58:03,843 ] 34 root - INFO - data transformation completed
[ 2024-12-26 12:58:03,843 ] 36 root - INFO - Model Training sstared
[ 2024-12-26 13:03:44,464 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-12-26 13:03:44,465 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-12-26 13:03:44,465 ] 122 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\12_26_2024_12_57_56\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=np.float64(0.9914236706689536), precision_score=np.float64(0.9891282464264143), recall_score=np.float64(0.9937297734627831)), test_metric_artifact=ClassificationMetricArtifact(f1_score=np.float64(0.9754098360655737), precision_score=np.float64(0.9698451507742462), recall_score=np.float64(0.9810387469084914)))
[ 2024-12-26 13:03:44,470 ] 41 root - INFO - Model Training artifact created
