[ 2024-12-26 12:20:07,907 ] 19 root - INFO - Initiate the data ingestion
[ 2024-12-26 12:20:11,436 ] 66 root - INFO - Performed train test split on the dataframe
[ 2024-12-26 12:20:11,436 ] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-12-26 12:20:11,452 ] 76 root - INFO - Exporting train and test file path.
[ 2024-12-26 12:20:11,549 ] 85 root - INFO - Exported train and test file path.
[ 2024-12-26 12:20:11,554 ] 21 root - INFO - a initiation Completed
[ 2024-12-26 12:20:11,577 ] 25 root - INFO - Initiate the data validation
[ 2024-12-26 12:20:11,635 ] 31 root - INFO - Required number of columns:2
[ 2024-12-26 12:20:11,635 ] 32 root - INFO - Data frame has columns:31
[ 2024-12-26 12:20:11,635 ] 31 root - INFO - Required number of columns:2
[ 2024-12-26 12:20:11,635 ] 32 root - INFO - Data frame has columns:31
[ 2024-12-26 12:20:11,882 ] 27 root - INFO - data validation completed
[ 2024-12-26 12:20:11,884 ] 30 root - INFO - data transformation started
[ 2024-12-26 12:20:11,884 ] 64 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2024-12-26 12:20:11,884 ] 66 root - INFO - Starting data transformation
[ 2024-12-26 12:20:11,918 ] 49 root - INFO - Entered get_data_transformer_object method of transformation class
[ 2024-12-26 12:20:11,922 ] 54 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2024-12-26 12:20:11,940 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-12-26 12:20:11,952 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-12-26 12:20:11,952 ] 34 root - INFO - data transformation completed
[ 2024-12-26 12:20:11,952 ] 36 root - INFO - Model Training sstared
